Nonprofit Name,Profile Link,Phone Number,EIN,Website,Email,Address,Email,Google Ads Grants Status,Application Status,Fundraised 
Alliance For International Reforestation Inc,https://www.charitynavigator.org/ein/593062311,770-543-9529,593062311,http://WWW.AIRGUATEMALA.ORG,,,,,,
Alliance For Retired Americans,https://www.charitynavigator.org/ein/522277805,202-637-5399,522277805,http://WWW.RETIREDAMERICANS.ORG,,,,,,
Alveus Sanctuary Inc,https://www.charitynavigator.org/ein/861772907,512-381-2199,861772907,http://Alveussanctuary.org,,,,,,
Alzheimers Disease And Related Disorders Association Inc,https://www.charitynavigator.org/ein/133039601,312-335-8700,133039601,http://WWW.ALZ.ORG,,,,,,
Alzheimers Disease Research Foundation,https://www.charitynavigator.org/ein/522396428,781-237-3800,522396428,http://www.curealz.org,,,,,,
Alzheimers Foundation Of America Inc,https://www.charitynavigator.org/ein/911792864,866-232-8484,911792864,http://WWW.ALZFDN.ORG,info@alzfdn.org,,,,,
Alzheimers Research And Prevention Foundation,https://www.charitynavigator.org/ein/860735832,888-908-5766,860735832,http://www.alzheimersprevention.org/,,,,,,
Amazon Conservation Association,https://www.charitynavigator.org/ein/522211305,202-234-2356,522211305,http://WWW.AMAZONCONSERVATION.ORG,info@amazonconservation.org,,,,,
American Anti Vivisection Society,https://www.charitynavigator.org/ein/230341990,800-729-2287,230341990,http://www.aavs.org,aavs@aavs.org,,,,,
American Battlefield Trust,https://www.charitynavigator.org/ein/541426643,202-367-1861,541426643,http://www.battlefields.org/,support@interactiveknowledge.com,,,,,
American Bible Society,https://www.charitynavigator.org/ein/131623885,215-309-0900,131623885,http://WWW.AMERICANBIBLE.ORG,,,,,,
American Bird Conservancy,https://www.charitynavigator.org/ein/521501259,888-247-3624,521501259,http://www.abcbirds.org,,,,,,
American Brotherhood For The Blind Dba Blind Children And Adults,https://www.charitynavigator.org/ein/521192529,410-659-9315,521192529,http://www.actionfund.org,,,,,,
American Cancer Society,https://www.charitynavigator.org/ein/821993189,800-227-2345,821993189,http://WWW.CANCER.ORG,,,,,,
American Cancer Society Inc,https://www.charitynavigator.org/ein/131788491,800-227-2345,131788491,http://WWW.CANCER.ORG,,,,,,
American Center For Law And Justice Inc,https://www.charitynavigator.org/ein/541586817,757-802-9160,541586817,http://WWW.ACLJ.ORG,,,,,,
American Civil Liberties Union Foundation Inc,https://www.charitynavigator.org/ein/136213516,212-549-2500,136213516,https://www.aclufoundation.org/,,,,,,
American Civil Liberties Union Inc,https://www.charitynavigator.org/ein/133871360,212-549-2500,133871360,http://WWW.ACLU.ORG,,,,,,
American Congress For Truth Inc,https://www.charitynavigator.org/ein/020711284,202-204-6999,20711284,http://WWW.ACTFORAMERICA.ORG,,,,,,
American Cornerstone Institute Inc,https://www.charitynavigator.org/ein/861545903,202-349-9634,861545903,HTTPS://AMERICANCORNERSTONE.ORG/,,,,,,
American Diabetes Association Inc,https://www.charitynavigator.org/ein/131623888,703-549-1500,131623888,http://www.diabetes.org,,,,,,
American Farmland Trust,https://www.charitynavigator.org/ein/521190211,202-331-7300,521190211,http://WWW.FARMLAND.ORG,,,,,,
American Forests,https://www.charitynavigator.org/ein/530196544,202-737-1944,530196544,http://www.americanforests.org,,,,,,
American Foundation For Suicide Prevention,https://www.charitynavigator.org/ein/133393329,212-363-3500,133393329,http://www.afsp.org/,,,,,,
American Friends Of Jamaica Inc,https://www.charitynavigator.org/ein/133115102,,133115102,http://www.theafj.org,265-2550info@theafj.orgein,,,,,
American Friends Of Leket Israel Inc,https://www.charitynavigator.org/ein/208202424,201-331-0070,208202424,https://www.leket.org/en/,,,,,,
American Friends Of Magen David Adom,https://www.charitynavigator.org/ein/131790719,212-757-1627,131790719,https://afmda.org/,info@afmda.org,,,,,
American Friends Of Meir Panim,https://www.charitynavigator.org/ein/201582478,877-736-6283,201582478,https://meirpanim.org/,,,,,,
American Friends Of The Ocean Cleanup Foundation,https://www.charitynavigator.org/ein/815132355,332-236-8004,815132355,http://WWW.THEOCEANCLEANUP.COM,,,,,,
American Friends Service Committee,https://www.charitynavigator.org/ein/231352010,,231352010,,,,,,,
American Heart Association Inc,https://www.charitynavigator.org/ein/135613797,214-373-6300,135613797,http://www.heart.org,,,,,,
American Humane Association,https://www.charitynavigator.org/ein/840432950,800-227-4645,840432950,http://www.americanhumane.org,,,,,,
American Immigration Council,https://www.charitynavigator.org/ein/521549711,202-507-7636,521549711,http://www.americanimmigrationcouncil.org/,,,,,,
American India Foundation,https://www.charitynavigator.org/ein/134159765,888-243-4463,134159765,http://WWW.AIF.ORG,,,,,,
American Indian College Fund,https://www.charitynavigator.org/ein/521573446,800-776-3863,521573446,http://www.collegefund.org,,,,,,
American Institute For Cancer Research,https://www.charitynavigator.org/ein/521238026,800-843-8114,521238026,http://www.aicr.org,,,,,,
American Jewish Committee,https://www.charitynavigator.org/ein/135563393,212-751-4000,135563393,http://www.ajc.org/,,,,,,
American Jewish Joint Distribution Committee Inc,https://www.charitynavigator.org/ein/131656634,212-687-6200,131656634,http://www.jdc.org,,,,,,
American Jewish World Service Inc,https://www.charitynavigator.org/ein/222584370,800-889-7146,222584370,http://www.ajws.org,ajws@ajws.org,,,,,
American Kidney Fund Inc,https://www.charitynavigator.org/ein/237124261,800-638-8299,237124261,http://www.kidneyfund.org/,,,,,,
American Lebanese Syrian Assoc Char Inc,https://www.charitynavigator.org/ein/351044585,800-822-6344,351044585,http://www.stjude.org,,,,,,
American Legion Charities,https://www.charitynavigator.org/ein/386902131,317-630-1229,386902131,,,,,,,
American Legion Charities Inc,https://www.charitynavigator.org/ein/901017997,317-630-1229,901017997,,,,,,,
American Leprosy Missions Inc,https://www.charitynavigator.org/ein/135562163,864-271-7040,135562163,https://www.hoperises.org,,,,,,
American Lung Association,https://www.charitynavigator.org/ein/131632524,800-586-4872,131632524,http://www.lung.org,,,,,,
American Macular Degeneration Foundation Inc,https://www.charitynavigator.org/ein/043274007,413-268-7660,43274007,https://www.macular.org/,,,,,,
American National Red Cross,https://www.charitynavigator.org/ein/530196605,800-733-2767,530196605,http://www.redcross.org,,,,,,
American Near East Refugee Aid Inc,https://www.charitynavigator.org/ein/520882226,202-266-9700,520882226,http://www.anera.org,,,,,,
American Online Giving Foundation Inc,https://www.charitynavigator.org/ein/810739440,800-828-5415,810739440,HTTP://WWW.ONLINEGIVINGFOUNDATION.ORG/,,,,,,
American Parkinson Disease Assoc,https://www.charitynavigator.org/ein/131962771,800-223-2732,131962771,https://www.apdaparkinson.org/,apda@apdaparkinson.org,,,,,
American Rivers Inc,https://www.charitynavigator.org/ein/237305963,202-347-7550,237305963,http://www.americanrivers.org,,,,,,
American Society For The Prevention Of Cruelty To Animals,https://www.charitynavigator.org/ein/131623829,212-876-7700,131623829,http://WWW.ASPCA.ORG,,,,,,
Americans United For Separation Of Church And State Inc,https://www.charitynavigator.org/ein/530184647,202-466-3234,530184647,http://www.au.org,,,,,,
Americares,https://www.charitynavigator.org/ein/933289018,,933289018,https://amicr.org/,,,,,,
Americares Foundation Inc,https://www.charitynavigator.org/ein/061008595,203-658-9500,61008595,http://WWW.AMERICARES.ORG,,,,,,
Americas Vetdogs The Veterans K9 Corps Inc,https://www.charitynavigator.org/ein/208814368,631-930-9081,208814368,HTTP://WWW.VETDOGS.ORG/,,,,,,
Amnesty International Of The Usa Inc,https://www.charitynavigator.org/ein/520851555,800-266-3789,520851555,https://www.amnestyusa.org/,,,,,,
Amvets National Service Foundation,https://www.charitynavigator.org/ein/520970963,800-810-7148,520970963,https://www.amvets.org/foundation,amvets@amvets.org,,,,,
Amyotrophic Lateral Sclerosis Assn,https://www.charitynavigator.org/ein/133271855,202-407-8580,133271855,http://www.als.org,,,,,,
And Then There Were None,https://www.charitynavigator.org/ein/453839973,888-570-5501,453839973,http://abortionworker.com,,,,,,
Animal Equality,https://www.charitynavigator.org/ein/472420444,424-250-6236,472420444,http://ANIMALEQUALITY.ORG,,,,,,
Animal Humane Society,https://www.charitynavigator.org/ein/410693842,952-283-0682,410693842,http://www.animalhumanesociety.org/,,,,,,
Animal Legal Defense Fund,https://www.charitynavigator.org/ein/942681680,707-795-2533,942681680,http://www.aldf.org,info@aldf.org,,,,,
Animal Recovery Mission,https://www.charitynavigator.org/ein/300602348,786-877-2013,300602348,http://animalrecoverymission.org/,,,,,,
Animal Welfare Institute,https://www.charitynavigator.org/ein/135655952,202-337-2332,135655952,http://WWW.AWIONLINE.ORG,,,,,,
Animals Angels Incorporated,https://www.charitynavigator.org/ein/208780367,443-821-3343,208780367,http://www.animalsangels.org/,,,,,,
Anime Twin Cities Inc,https://www.charitynavigator.org/ein/510441604,763-432-3712,510441604,http://www.animetwincities.org,,,,,,
Ann Childrens Fund Inc,https://www.charitynavigator.org/ein/834310584,239-631-0230,834310584,http://WWW.ANNFUND.ORG,,,,,,
Anti Defamation League,https://www.charitynavigator.org/ein/131818723,212-885-7700,131818723,http://www.adl.org,,,,,,
Apopo Us Inc,https://www.charitynavigator.org/ein/471389723,202-335-7755,471389723,http://www.apopo.org,herorats@apopo.org,,,,,
Appalachia Service Project Inc,https://www.charitynavigator.org/ein/620989383,423-854-8800,620989383,http://WWW.ASPHOME.ORG,,,,,,
Arabian Rescue Mission Inc,https://www.charitynavigator.org/ein/204969976,973-948-9471,204969976,http://www.arabianrescuemission.org,,,,,,
Archewell Inc,https://www.charitynavigator.org/ein/852213963,310-385-9300,852213963,,,,,,,
Arizona Humane Society,https://www.charitynavigator.org/ein/860135567,602-997-7585,860135567,http://www.azhumane.org,,,,,,
Armed Services Ymca Of The Usa,https://www.charitynavigator.org/ein/363274346,866-427-9622,363274346,http://ASYMCA.ORG,,,,,,
Arthritis Foundation Inc,https://www.charitynavigator.org/ein/581341679,404-872-7100,581341679,http://WWW.ARTHRITIS.ORG,,,,,,
Asha For Education,https://www.charitynavigator.org/ein/770459884,419-855-2742,770459884,http://www.ashanet.org,,,,,,
Asher House,https://www.charitynavigator.org/ein/843719750,971-710-4822,843719750,https://www.theasherhouse.com/,rescue@theasherhouse.comadopt,,,,,
Aspcas Rescue,https://www.charitynavigator.org/ein/992758766,,992758766,,,,,,,
Assistance Fund Inc,https://www.charitynavigator.org/ein/270270731,855-845-3663,270270731,http://WWW.TAFCARES.ORG,,,,,,
Atlanta Community Food Bank Inc,https://www.charitynavigator.org/ein/581376648,404-892-9822,581376648,http://www.acfb.org,,,,,,
Atlanta Ronald Mcdonald House Charities Inc,https://www.charitynavigator.org/ein/581295754,404-315-1133,581295754,https://ronaldmcdonaldhouseatl.org/,,,,,,
Austin Pets Alive,https://www.charitynavigator.org/ein/742893360,512-961-6519,742893360,https://www.austinpetsalive.org/,,,,,,
Autism Speaks Inc,https://www.charitynavigator.org/ein/202329938,646-385-8500,202329938,http://WWW.AUTISMSPEAKS.ORG,,,,,,
Autism Spectrum Disorder Foundation Inc,https://www.charitynavigator.org/ein/208820570,877-806-0635,208820570,http://www.myasdf.org/site/,,,,,,
B Strong Fund Inc,https://www.charitynavigator.org/ein/850807163,617-338-4343,850807163,http://WWW.BIGNIGHT.COM,02114info@bignight.com,,,,,
Baby Rhino Rescue,https://www.charitynavigator.org/ein/474253959,818-635-9812,474253959,http://WWW.BABYRHINORESCUE.ORG,,,,,,
Baby2 Baby,https://www.charitynavigator.org/ein/464503539,323-933-2229,464503539,http://WWW.BABY2BABY.ORG,,,,,,
Baitul Ahad Islamic Center Inc,https://www.charitynavigator.org/ein/871739259,,871739259,,,,,,,
Baitulmaal Inc,https://www.charitynavigator.org/ein/200942434,972-257-2564,200942434,http://www.baitulmaal.org,info@baitulmaal.org,,,,,
Beads Of Courage Inc,https://www.charitynavigator.org/ein/202721500,412-512-5330,202721500,http://www.beadsofcourage.org,,,,,,
Benevolent Healthcare Foundation,https://www.charitynavigator.org/ein/841568566,303-792-0729,841568566,http://projectcure.org,,,,,,
Best Friends Animal Society,https://www.charitynavigator.org/ein/237147797,435-644-2001,237147797,http://WWW.BESTFRIENDS.ORG,,,,,,
Bible League Foundation,https://www.charitynavigator.org/ein/363258728,708-367-8500,363258728,,,,,,,
Bibles For The World,https://www.charitynavigator.org/ein/362434228,888-382-4253,362434228,https://biblesfortheworld.org/,contact@bftw.org,,,,,
Bideawee Inc,https://www.charitynavigator.org/ein/131655210,212-532-6395,131655210,http://WWW.BIDEAWEE.ORG,,,,,,
Big Brothers Big Sisters Of America,https://www.charitynavigator.org/ein/231365190,813-720-8778,231365190,http://www.BBBS.org,,,,,,
Bikers Against Drunk Drivers,https://www.charitynavigator.org/ein/352356317,305-501-9980,352356317,http://BADDCENTRAL.COM,,,,,,
Bill Hillary &amp; Chelsea Clinton Foundation,https://www.charitynavigator.org/ein/311580204,501-370-8000,311580204,http://WWW.CLINTONFOUNDATION.ORG,,,,,,
Billy Graham Evangelistic Association,https://www.charitynavigator.org/ein/452588350,704-401-2432,452588350,http://WWW.BILLYGRAHAM.ORG,,,,,,
Black Lives Matter Foundation Inc,https://www.charitynavigator.org/ein/824862489,510-509-1603,824862489,http://WWW.BLACKLIVESMATTER.COM,,,,,,
Blood Cancer United Inc,https://www.charitynavigator.org/ein/135644916,914-949-5213,135644916,https://www.bloodcancerunited.org/,,,,,,
Born Free Usa United With Animal Protection Institute,https://www.charitynavigator.org/ein/946187633,301-448-1407,946187633,http://www.bornfreeusa.org,,,,,,
Boys &amp; Girls Clubs Of America,https://www.charitynavigator.org/ein/135562976,404-487-5700,135562976,http://www.bgca.org,,,,,,
Brac Usa Inc,https://www.charitynavigator.org/ein/208456741,917-525-3704,208456741,http://www.bracusa.org,info@bracusa.org,,,,,
Brady Center To Prevent Gun Violence,https://www.charitynavigator.org/ein/521285097,202-370-8100,521285097,http://www.bradyunited.org,,,,,,
Bread For The World Inc,https://www.charitynavigator.org/ein/132803276,202-639-9400,132803276,http://www.bread.org,,,,,,
Bread For The World Institute Inc,https://www.charitynavigator.org/ein/510175510,800-822-7323,510175510,http://www.bread.org/about-bread-world-institute,,,,,,
Breakthrough T1 D,https://www.charitynavigator.org/ein/231907729,800-533-2873,231907729,http://www.breakthrought1d.org,,,,,,
Breast Cancer Research Foundation Inc,https://www.charitynavigator.org/ein/133727250,646-497-2600,133727250,http://WWW.BCRF.ORG,1-866-346-3228bcrf@bcrf.org,,,,,
Breastcancer Org,https://www.charitynavigator.org/ein/233082851,610-642-6550,233082851,https://www.breastcancer.org/,,,,,,
Brightfocus Foundation,https://www.charitynavigator.org/ein/237337229,301-948-3244,237337229,http://WWW.BRIGHTFOCUS.ORG,info@brightfocus.org,,,,,
Buckner International,https://www.charitynavigator.org/ein/750891443,214-758-8000,750891443,http://WWW.BUCKNER.ORG,,,,,,
Cal Farleys Boys Ranch,https://www.charitynavigator.org/ein/750808768,800-687-3722,750808768,http://www.calfarley.org/,giving@calfarley.org,,,,,
Cal Farleys Boys Ranch Foundation,https://www.charitynavigator.org/ein/751080987,806-372-2341,751080987,http://WWW.CALFARLEY.ORG,giving@calfarley.org,,,,,
California Community Foundation,https://www.charitynavigator.org/ein/953510055,213-413-4130,953510055,http://www.calfund.org,,,,,,
California Fire Foundation,https://www.charitynavigator.org/ein/680118991,800-890-3213,680118991,https://www.cafirefoundation.org/,cafirefoundation@cpf.org,,,,,
California State Parks Foundation,https://www.charitynavigator.org/ein/941707583,415-262-4400,941707583,http://www.calparks.org/,,,,,,
Camfed U S A Foundation,https://www.charitynavigator.org/ein/542033897,415-963-4489,542033897,http://WWW.CAMFED.ORG,,,,,,
Cancer Care Inc,https://www.charitynavigator.org/ein/131825919,212-712-8400,131825919,http://www.cancercare.org,info@cancercare.orgfacebooktwitteryoutubeinstagramlinkedintiktok,,,,,
Cancer Research America Nfcr Inc,https://www.charitynavigator.org/ein/042531031,800-321-2873,42531031,http://www.nfcr.org,info@nfcr.org,,,,,
Cancer Research Institute Inc,https://www.charitynavigator.org/ein/131837442,212-688-7515,131837442,http://WWW.CANCERRESEARCH.ORG,,,,,,
Canine Companions For Independence,https://www.charitynavigator.org/ein/942494324,707-577-1700,942494324,http://WWW.CANINE.ORG,,,,,,
Capital Area Food Bank,https://www.charitynavigator.org/ein/521167581,202-644-9800,521167581,http://www.capitalareafoodbank.org,,,,,,
Capital Area Immigrants Rights Coalition,https://www.charitynavigator.org/ein/522141497,202-331-3320,522141497,https://www.amicacenter.org,,,,,,
Car Donation Foundation,https://www.charitynavigator.org/ein/263408048,952-525-2238,263408048,http://WWW.WHEELSFORWISHES.ORG,,,,,,
Cardinal Hayes School For Special Children,https://www.charitynavigator.org/ein/222511306,845-677-6363,222511306,http://WWW.HAYESDAYSCHOOL.ORG,,,,,,
Carenet,https://www.charitynavigator.org/ein/541382723,703-554-8734,541382723,http://www.care-net.org/,,,,,,
Caringbridge,https://www.charitynavigator.org/ein/421529394,651-452-7940,421529394,http://www.caringbridge.org,,,,,,
Caritas,https://www.charitynavigator.org/ein/541441917,804-358-0964,541441917,http://WWW.CARITASVA.ORG,info@caritasva.org,,,,,
Carter Reservoir Mustangs Inc,https://www.charitynavigator.org/ein/473415397,541-519-3172,473415397,http://www.carterreservoirmustangs.org,info@carterreservoirmustangs.org,,,,,
Casey To The Rescue Dog Transit Inc,https://www.charitynavigator.org/ein/872272417,585-760-3048,872272417,http://www.caseytotherescue.com,,,,,,
Castleton Ranch Horse Rescue Inc,https://www.charitynavigator.org/ein/113731839,760-913-5606,113731839,http://castletonranchhorserescue.org/,,,,,,
Catholic Charities Cyo Of The Archdiocese Of San Francisco,https://www.charitynavigator.org/ein/941498472,415-972-1220,941498472,http://www.CatholicCharitiesSF.org/,volunteer@catholiccharitiessf.org,,,,,
Catholic Charities Of Los Angeles,https://www.charitynavigator.org/ein/951690973,213-251-3400,951690973,http://WWW.CATHOLICCHARITIESLA.ORG,info@catholiccharitiesla.org,,,,,
Catholic Charities Usa,https://www.charitynavigator.org/ein/530196620,,530196620,,,,,,,
Catholic Medical Mission Board Inc,https://www.charitynavigator.org/ein/135602319,800-678-5659,135602319,http://www.cmmb.org/,,,,,,
Catholic Relief Services,https://www.charitynavigator.org/ein/135563422,877-435-7277,135563422,http://crs.org,,,,,,
Center For American Liberty,https://www.charitynavigator.org/ein/830727789,703-687-6212,830727789,http://LIBERTYCENTER.ORG,info@libertycenter.org,,,,,
Center For Biological Diversity Inc,https://www.charitynavigator.org/ein/273943866,866-357-3349,273943866,http://www.biologicaldiversity.org,,,,,,
Center For Disaster Philanthropy Inc,https://www.charitynavigator.org/ein/455257937,202-464-2018,455257937,https://disasterphilanthropy.org/,,,,,,
Center For Reproductive Rights Inc,https://www.charitynavigator.org/ein/133669731,917-637-3600,133669731,http://www.reproductiverights.org,,,,,,
Center For Science In The Public Interest,https://www.charitynavigator.org/ein/237122879,202-332-9110,237122879,http://www.cspinet.org,customercare@cspi.org,,,,,
Center For Victims Of Torture,https://www.charitynavigator.org/ein/363383933,612-436-4800,363383933,http://WWW.CVT.ORG,,,,,,
Charity Global Inc,https://www.charitynavigator.org/ein/223936753,646-688-2323,223936753,http://www.charitywater.org,info@charitywater.org,,,,,
Charity Navigator,https://www.charitynavigator.org/ein/134148824,201-818-1288,134148824,http://www.charitynavigator.org,,,,,,
Chesapeake Bay Foundation Inc,https://www.charitynavigator.org/ein/526065757,410-268-8816,526065757,http://WWW.CBF.ORG,,,,,,
Chicago Coalition To End Homelessness,https://www.charitynavigator.org/ein/363292607,312-641-4140,363292607,http://www.chicagohomeless.org,,,,,,
Child Evangelism Fellowship Inc,https://www.charitynavigator.org/ein/386091187,636-456-4321,386091187,http://www.cefonline.com/,,,,,,
Child Mind Institute Inc,https://www.charitynavigator.org/ein/800478843,212-308-3118,800478843,http://WWW.CHILDMIND.ORG,,,,,,
Childfund International Usa,https://www.charitynavigator.org/ein/540536100,800-776-6767,540536100,http://www.childfund.org/,questions@childfund.org,,,,,
Childhelp Inc,https://www.charitynavigator.org/ein/952884608,480-922-8212,952884608,http://www.childhelp.org,,,,,,
Children International,https://www.charitynavigator.org/ein/446005794,800-888-3089,446005794,https://www.children.org,children@children.org,,,,,
Children Of Fallen Patriots Foundation,https://www.charitynavigator.org/ein/470902295,866-917-2373,470902295,http://www.fallenpatriots.org,,,,,,
Children With Hair Loss Inc,https://www.charitynavigator.org/ein/383537982,,383537982,http://www.childrenwithhairloss.org,,,,,,
Childrens Cancer Research Fund,https://www.charitynavigator.org/ein/411893645,952-893-9355,411893645,https://childrenscancer.org/,,,,,,
Childrens Hunger Fund,https://www.charitynavigator.org/ein/954335462,818-979-7100,954335462,http://www.ChildrensHungerFund.org/,,,,,,
Childrens Hunger Relief Fund Inc,https://www.charitynavigator.org/ein/510168428,,510168428,,,,,,,
Childrens Miracle Network,https://www.charitynavigator.org/ein/870387205,801-214-7400,870387205,http://WWW.CMN.ORG,,,,,,
Chimp Haven Inc,https://www.charitynavigator.org/ein/742766663,318-925-9575,742766663,http://WWW.CHIMPHAVEN.ORG,,,,,,
Chosen People Ministries Inc,https://www.charitynavigator.org/ein/131659171,212-223-2252,131659171,https://www.chosenpeople.com/,,,,,,
Christian Appalachian Project Inc,https://www.charitynavigator.org/ein/610661137,866-270-4227,610661137,http://www.christianapp.org,,,,,,
Christian Broadcasting Network Inc,https://www.charitynavigator.org/ein/540678752,800-700-7000,540678752,http://www.cbn.com/,,,,,,
Christian Relief Services Charities Inc,https://www.charitynavigator.org/ein/521394775,703-317-9086,521394775,http://WWW.CRSC-FAMILY.ORG,info@christianrelief.org,,,,,
Christian Relief Services Charities Inc,https://www.charitynavigator.org/ein/541594578,703-317-9881,541594578,http://WWW.INDIANYOUTH.ORG,659-6231info@indianyouth.org,,,,,
Christian Relief Services Charities Inc,https://www.charitynavigator.org/ein/541884520,703-317-9440,541884520,http://WWW.AFRICANRELIEF.ORG,info@africanrelief.org,,,,,
Christian Relief Services Charities Inc,https://www.charitynavigator.org/ein/911937903,800-337-3543,911937903,http://www.crsc-family.org/,info@christianrelief.org,,,,,
Church World Service Inc,https://www.charitynavigator.org/ein/134080201,800-297-1516,134080201,http://www.cwsglobal.org/,info@cwsglobal.org,,,,,
Citizens For Responsibility And Ethics In Washington Inc,https://www.charitynavigator.org/ein/030445391,202-408-5565,30445391,http://WWW.CITIZENSFORETHICS.ORG,,,,,,
City Harvest Inc,https://www.charitynavigator.org/ein/133170676,646-412-0600,133170676,http://www.cityharvest.org,,,,,,
City Of Hope,https://www.charitynavigator.org/ein/953435919,626-256-4673,953435919,http://cityofhope.org,,,,,,
Citymeals On Wheels,https://www.charitynavigator.org/ein/133634381,212-687-1234,133634381,http://www.citymeals.org,info@citymeals.org,,,,,
Clean Air Task Force Inc,https://www.charitynavigator.org/ein/043512550,617-624-0234,43512550,http://catf.us/,,,,,,
Clean Ocean Action Inc,https://www.charitynavigator.org/ein/222897204,732-872-0111,222897204,http://www.cleanoceanaction.org,info@cleanoceanaction.org,,,,,
Coalition For Humane Immigrant Rights,https://www.charitynavigator.org/ein/954421521,213-353-1333,954421521,http://WWW.CHIRLA.ORG,info@chirla.org,,,,,
Coalition For The Homeless Inc,https://www.charitynavigator.org/ein/133072967,212-776-2080,133072967,http://WWW.COALITIONFORTHEHOMELESS.ORG,info@cfthomeless.org,,,,,
Coalition To Abolish Slavery & Trafficking,https://www.charitynavigator.org/ein/100008533,213-365-1906,100008533,http://www.castla.org,,,,,,
Coalition To Salute Americas Heroes Foundation,https://www.charitynavigator.org/ein/521351773,703-291-4605,521351773,http://WWW.SALUTEHEROES.ORG,info@saluteheroes.orgveteran,,,,,
Colbys Crew Rescue,https://www.charitynavigator.org/ein/862351417,703-400-1480,862351417,http://colbyscrewrescue.org,,,,,,
Colorado Coalition For The Homeless,https://www.charitynavigator.org/ein/840951575,303-293-2217,840951575,http://WWW.COLORADOCOALITION.ORG,,,,,,
